tipe_ban,harga,ukuran
17570,360000,12
15512,380000,12
15580,320000,12
75015,1180000,12
378175,360000,12
17512,385000,12
15510,315000,12
150175,430000,12
8012,320000,12
16565,398000,13
1658,480000,13
15070,647000,13
17513,438000,13
17570,647000,13
18580,395000,13
16585,318000,13
16570,538000,13
16580,480000,13
18570,395000,13
1758,709800,13
17560,359650,13
14580,391550,13
15570,400900,13
18565,643000,13
16880,1345000,13
18570,433517,13
16513,410000,13
300185,395000,13
16524,480000,13
16520,812000,13
18510,820000,14
15065,528000,14
19520,657000,14
30065,508000,14
17514 ,404000,14
1852,518000,14
18582,1147000,14
18514 ,1273000,14
20570,734000,14
18575,794000,14
70014,704000,14
19570,477000,14
17565,347000,14
18560,376000,14
18570,429000,14
15555,505000,14
16565,459750,14
17570,453700,14
1858,573600,14
19560,510000,15
18560,565000,15
18565,580000,15
20565,800000,15
18560,964000,15
18565,386000,15
19560,466000,15
19555,546000,15
17565,616000,15
1960,697000,15
18565,605000,15
17565,746000,15
19560,787000,15
18555,811000,15
19550,818000,15
17565,529000,15
18565,579000,15
17560,589000,15
18555,599000,15
20565,629000,15
19560,872000,16
18555,910000,16
20560,954000,16
23560,1259000,16
19555,1173000,16
19550,669000,16
21565,1385000,16
21560,1575000,16
18055,900000,16
21555,1600000,16
20555,932000,16
18560,890000,16
18555,876000,16
20565,920000,16
23555,1200000,16
22560,900000,17
21560,1189000,17
26565,1640000,17
22565,915000,17
21550,1029000,17
21555,1596000,17
20545,1676000,17
22550,1696000,17
20550,1760000,17
21545,1665000,17
22545,1000000,17
22555,1120000,17
20555,1870000,17
20560,1890000,17
20565,1920000,17
22045,890000,17
